154545,"{'y': 43.9212462, 'x': 4.860117, 'street_count': 3}"
154559,"{'y': 43.9156442, 'x': 4.8741412, 'street_count': 3}"
154561,"{'y': 43.9153489, 'x': 4.8744477, 'street_count': 3}"
154563,"{'y': 43.9153597, 'x': 4.8747285, 'street_count': 3}"
154565,"{'y': 43.9157334, 'x': 4.8749734, 'street_count': 3}"
154566,"{'y': 43.9159353, 'x': 4.874696, 'street_count': 3}"
154581,"{'y': 43.9105832, 'x': 4.8835197, 'street_count': 4}"
154595,"{'y': 43.9041891, 'x': 4.8933754, 'street_count': 3}"
154600,"{'y': 43.9038086, 'x': 4.8937002, 'street_count': 3}"
154601,"{'y': 43.9038712, 'x': 4.8940612, 'street_count': 3}"
154602,"{'y': 43.9039508, 'x': 4.8941573, 'street_count': 3}"
154604,"{'y': 43.9044194, 'x': 4.8938117, 'street_count': 3}"
154605,"{'y': 43.9038715, 'x': 4.8953355, 'street_count': 3}"
154606,"{'y': 43.9037753, 'x': 4.895763, 'street_count': 3}"
154671,"{'y': 43.90065, 'x': 4.8964418, 'street_count': 3}"
654113,"{'y': 43.9364042, 'x': 4.810163, 'street_count': 3}"
654115,"{'y': 43.9361657, 'x': 4.8101563, 'street_count': 4}"
654119,"{'y': 43.9360889, 'x': 4.8044868, 'street_count': 3}"
654143,"{'y': 43.9403412, 'x': 4.8061827, 'street_count': 3}"
654169,"{'y': 43.9495889, 'x': 4.7841211, 'street_count': 3}"
654189,"{'y': 43.9496454, 'x': 4.7694584, 'street_count': 3}"
654230,"{'y': 43.9586389, 'x': 4.7474804, 'street_count': 3}"
654242,"{'y': 43.9602983, 'x': 4.7444688, 'street_count': 3}"
654251,"{'y': 43.9601807, 'x': 4.7445989, 'street_count': 3}"
654256,"{'y': 43.9604152, 'x': 4.7459234, 'street_count': 2}"
654271,"{'y': 43.9606539, 'x': 4.7498728, 'street_count': 3}"
654272,"{'y': 43.9604118, 'x': 4.7502757, 'street_count': 3}"
654275,"{'y': 43.9727553, 'x': 4.8577845, 'street_count': 3}"
654293,"{'y': 43.9758471, 'x': 4.8580332, 'street_count': 3}"
654294,"{'y': 43.9765958, 'x': 4.8580556, 'street_count': 4}"
654297,"{'y': 43.9765871, 'x': 4.857969, 'street_count': 4}"
654310,"{'y': 43.9824001, 'x': 4.8597299, 'street_count': 3}"
654317,"{'y': 43.982298, 'x': 4.8612745, 'street_count': 3}"
654318,"{'y': 43.9823764, 'x': 4.8613062, 'street_count': 3}"
654323,"{'y': 43.9821744, 'x': 4.8613525, 'street_count': 3}"
654326,"{'y': 43.9826858, 'x': 4.860079, 'street_count': 3}"
654337,"{'y': 43.9829148, 'x': 4.8593619, 'street_count': 3}"
654343,"{'y': 43.9824731, 'x': 4.8593766, 'street_count': 3}"
654363,"{'y': 43.9830921, 'x': 4.8580142, 'street_count': 3}"
654365,"{'y': 43.9832968, 'x': 4.8578744, 'street_count': 3}"
654367,"{'y': 43.9832014, 'x': 4.8576107, 'street_count': 3}"
654369,"{'y': 43.982998, 'x': 4.8577536, 'street_count': 3}"
654407,"{'y': 43.9979259, 'x': 4.866533, 'street_count': 3}"
654415,"{'y': 43.997839, 'x': 4.8657548, 'street_count': 3}"
656815,"{'y': 43.9606757, 'x': 4.7497503, 'street_count': 3}"
656816,"{'y': 43.96073, 'x': 4.7498129, 'street_count': 3}"
656821,"{'y': 43.9608083, 'x': 4.7495731, 'street_count': 3}"
656838,"{'y': 43.9606115, 'x': 4.7520373, 'street_count': 3}"
656843,"{'y': 43.9604092, 'x': 4.753996, 'street_count': 3}"
656857,"{'y': 43.9617974, 'x': 4.7478513, 'street_count': 3}"
656858,"{'y': 43.9619343, 'x': 4.747574, 'street_count': 3}"
656859,"{'y': 43.9619837, 'x': 4.7474838, 'street_count': 3}"
656868,"{'y': 43.9621151, 'x': 4.7473036, 'street_count': 3}"
656872,"{'y': 43.9628999, 'x': 4.7458523, 'street_count': 3}"
656900,"{'y': 44.0035996, 'x': 4.7743667, 'street_count': 4}"
656901,"{'y': 44.0012544, 'x': 4.7774181, 'street_count': 3}"
656902,"{'y': 44.0017814, 'x': 4.7735882, 'street_count': 3}"
656904,"{'y': 44.0047126, 'x': 4.7714956, 'street_count': 4}"
657409,"{'y': 43.9429715, 'x': 4.7991454, 'street_count': 3}"
657427,"{'y': 43.9503194, 'x': 4.802361, 'street_count': 3}"
657428,"{'y': 43.9503092, 'x': 4.8026113, 'street_count': 3}"
657429,"{'y': 43.9505981, 'x': 4.802134, 'street_count': 3}"
657435,"{'y': 43.950862, 'x': 4.8021216, 'street_count': 3}"
657438,"{'y': 43.9316179, 'x': 4.8122278, 'street_count': 3}"
657442,"{'y': 43.9316781, 'x': 4.8096308, 'street_count': 4}"
657447,"{'y': 43.9294041, 'x': 4.8125999, 'street_count': 3}"
657449,"{'y': 43.9319781, 'x': 4.8052561, 'street_count': 3}"
657455,"{'y': 43.9318085, 'x': 4.8078234, 'street_count': 3}"
657468,"{'y': 43.9291561, 'x': 4.8046046, 'highway': 'crossing', 'street_count': 3}"
874577,"{'y': 43.9827293, 'x': 4.8846001, 'street_count': 3}"
874578,"{'y': 43.9828104, 'x': 4.8844949, 'street_count': 3}"
874619,"{'y': 43.9796998, 'x': 4.8791915, 'street_count': 3}"
874622,"{'y': 43.9798649, 'x': 4.8789837, 'street_count': 3}"
874624,"{'y': 43.9796828, 'x': 4.8787308, 'street_count': 3}"
875039,"{'y': 43.9782516, 'x': 4.8772748, 'street_count': 3}"
875045,"{'y': 43.9780561, 'x': 4.8768803, 'street_count': 3}"
875047,"{'y': 43.9778635, 'x': 4.8764132, 'street_count': 3}"
875049,"{'y': 43.9777699, 'x': 4.8764109, 'street_count': 3}"
875060,"{'y': 43.9775642, 'x': 4.8761772, 'street_count': 3}"
875071,"{'y': 43.9866722, 'x': 4.8925679, 'street_count': 3}"
875081,"{'y': 43.9864401, 'x': 4.8917558, 'street_count': 3}"
875083,"{'y': 43.9877647, 'x': 4.8964942, 'street_count': 3}"
877382,"{'y': 43.9719516, 'x': 4.8580781, 'street_count': 3}"
877404,"{'y': 43.9688555, 'x': 4.8566705, 'street_count': 3}"
877417,"{'y': 43.9632122, 'x': 4.8582999, 'street_count': 4}"
877430,"{'y': 43.9597076, 'x': 4.8543628, 'street_count': 3}"
877889,"{'y': 43.9597391, 'x': 4.8466898, 'street_count': 3}"
878254,"{'y': 43.9547409, 'x': 4.8583437, 'street_count': 3}"
878260,"{'y': 43.9572168, 'x': 4.8585875, 'street_count': 5}"
878790,"{'y': 43.9422993, 'x': 4.8164875, 'street_count': 3}"
878806,"{'y': 43.9351563, 'x': 4.831993, 'street_count': 3}"
879507,"{'y': 43.9493859, 'x': 4.8406533, 'street_count': 3}"
879516,"{'y': 43.9455437, 'x': 4.8374077, 'highway': 'motorway_junction', 'street_count': 3}"
879522,"{'y': 43.9460515, 'x': 4.8392692, 'highway': 'motorway_junction', 'street_count': 3}"
879535,"{'y': 43.9523553, 'x': 4.8438929, 'street_count': 3}"
879536,"{'y': 43.9522763, 'x': 4.8445078, 'street_count': 3}"
879875,"{'y': 43.936643, 'x': 4.8451623, 'street_count': 3}"
879879,"{'y': 43.9367559, 'x': 4.8453588, 'street_count': 3}"
880361,"{'y': 44.0077441, 'x': 4.7355581, 'street_count': 3}"
880528,"{'y': 43.9945829, 'x': 4.7817092, 'street_count': 3}"
880707,"{'y': 43.9769719, 'x': 4.7532861, 'street_count': 3}"
880727,"{'y': 43.9803669, 'x': 4.7620123, 'street_count': 3}"
881086,"{'y': 43.9590243, 'x': 4.771592, 'street_count': 3}"
881094,"{'y': 43.9584963, 'x': 4.7739036, 'street_count': 3}"
881140,"{'y': 43.9541861, 'x': 4.7872954, 'street_count': 3}"
881633,"{'y': 43.9337355, 'x': 4.8018334, 'street_count': 3}"
881654,"{'y': 43.9362294, 'x': 4.7975277, 'street_count': 3}"
881659,"{'y': 43.9367493, 'x': 4.7963721, 'street_count': 3}"
881664,"{'y': 43.9394046, 'x': 4.7976107, 'street_count': 3}"
881952,"{'y': 43.9522161, 'x': 4.8193365, 'street_count': 3}"
8972993,"{'y': 43.928462, 'x': 4.7849125, 'street_count': 3}"
8973000,"{'y': 43.928629, 'x': 4.7848833, 'street_count': 3}"
8973013,"{'y': 43.9284507, 'x': 4.7865044, 'street_count': 2}"
8973016,"{'y': 43.9305537, 'x': 4.7871427, 'street_count': 3}"
8973019,"{'y': 43.930477, 'x': 4.7873149, 'street_count': 3}"
